Vipava;1315.51;1328.89;1313.93;1350.97;1391.68;1380.34;1375.72;1422.50
Vitanje;1208.81;1228.70;1219.07;1261.29;1270.96;1276.97;1329.31;1491.46
Vodice;1318.30;1309.36;1280.22;1261.36;1273.61;1290.48;1304.97;1314.83
Vojnik;1321.69;1342.93;1333.85;1328.49;1321.17;1314.90;1332.21;1366.21
Vransko;1502.99;1371.08;1343.36;1308.27;1325.28;1327.25;1369.88;1414.38
Vrhnika;1294.39;1326.56;1311.70;1330.61;1355.26;1366.48;1395.41;1431.54
Vuzenica;1147.25;1207.90;1271.56;1252.34;1228.19;1261.48;1329.63;1413.41
Zagorje ob Savi;1318.22;1347.87;1273.93;1309.40;1313.62;1312.68;1347.23;1402.21
Zavrè;1219.19;1142.12;1183.56;1116.13;1065.66;1110.27;1193.47;1563.98
Zreèe;1264.44;1298.48;1318.75;1360.17;1399.90;1431.73;1458.41;1507.83
Žalec;1324.08;1343.25;1335.61;1336.98;1339.65;1366.59;1377.67;1410.84
Železniki;1205.48;1264.41;1245.75;1332.08;1405.70;1430.53;1484.18;1587.64
Žetale;1364.69;1358.40;1370.38;1342.08;1319.28;1364.07;1401.90;1412.17
Žiri;1189.87;1243.50;1274.05;1299.08;1352.08;1384.73;1394.34;1426.21
Žirovnica;1382.76;1421.13;1467.57;1522.23;1471.07;1468.56;1520.95;1588.30
Žužemberk;1216.97;1265.77;1236.06;1258.51;1286.73;1318.19;1324.21;1361.59
